task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.21563,91.65,0.602
horizontal,1,2,0.02944,99.05,0.361
horizontal,1,3,0.0317,98.76,0.35
horizontal,1,4,0.02166,99.2,0.342
horizontal,1,5,0.01321,99.5,0.342
vertical,2,1,0.53753,86.68,0.343
vertical,2,2,0.05117,98.61,0.357
vertical,2,3,0.01573,99.59,0.348
vertical,2,4,0.01505,99.48,0.353
vertical,2,5,0.01333,99.61,0.364
circle,3,1,0.71515,74.62,0.344
circle,3,2,0.26262,88.1,0.34
circle,3,3,0.1798,92.06,0.346
circle,3,4,0.09035,96.84,0.339
circle,3,5,0.06001,97.79,0.342
diagonal,4,1,0.303,91.8,0.348
diagonal,4,2,0.05941,97.94,0.35
diagonal,4,3,0.04484,98.35,0.348
diagonal,4,4,0.04732,98.12,0.339
diagonal,4,5,0.0324,98.84,0.358
xor_quadrant,5,1,0.82705,67.98,0.401
xor_quadrant,5,2,0.18333,94.51,0.405
xor_quadrant,5,3,0.04803,98.38,0.407
xor_quadrant,5,4,0.04917,98.48,0.4
xor_quadrant,5,5,0.02737,99.12,0.411
