task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.15101,95.75,0.792
horizontal,1,2,0.01846,99.48,0.517
horizontal,1,3,0.02339,99.14,0.459
horizontal,1,4,0.0168,99.48,0.461
horizontal,1,5,0.01447,99.46,0.46
vertical,2,1,0.4627,89.22,0.45
vertical,2,2,0.03535,98.83,0.368
vertical,2,3,0.02375,99.13,0.349
vertical,2,4,0.02067,99.22,0.362
vertical,2,5,0.02579,98.94,0.366
circle,3,1,0.7986,71.02,0.368
circle,3,2,0.28167,87.62,0.408
circle,3,3,0.09611,96.84,0.373
circle,3,4,0.05799,97.71,0.375
circle,3,5,0.05345,98.03,0.4
diagonal,4,1,0.30037,92.09,0.411
diagonal,4,2,0.04339,98.53,0.425
diagonal,4,3,0.04548,98.23,0.409
diagonal,4,4,0.03434,98.64,0.445
diagonal,4,5,0.03426,98.74,0.374
xor_quadrant,5,1,0.78579,68.02,0.396
xor_quadrant,5,2,0.28212,88.06,0.395
xor_quadrant,5,3,0.07315,97.16,0.417
xor_quadrant,5,4,0.04285,98.43,0.366
xor_quadrant,5,5,0.0424,98.4,0.356
